"Your free gift has been removed from your cart.","Your free gift has been removed from your cart."
"Your free gift has been added to your cart.","Your free gift has been added to your cart."
"Buy one more","Buy one more"
"to qualify for a free gift","to qualify for a free gift"
"is out of stock and cannot be added to the cart!","is out of stock and cannot be added to the cart!"
"You have reached your free gift limit.","You have reached your free gift limit."
