"Error while creating image","Error while creating image"
"Image not exists or invalid","Image not exists or invalid"
"This content requires last version of Adobe Flash Player. <a href=""%s"">Get Flash</a>","Dieser Inhalt benötigt einen aktuellen Adobe Flash Player <a href=""%s"">Flash Player installieren</a>"
